,name,id,level
0,arts & entertainment,4d4b7104d754a06370d81259,0
1,amphitheater,56aa371be4b08b9a8d5734db,1
2,aquarium,4fceea171983d5d06c3e9823,1
3,arcade,4bf58dd8d48988d1e1931735,1
4,art gallery,4bf58dd8d48988d1e2931735,1
5,bowling alley,4bf58dd8d48988d1e4931735,1
6,casino,4bf58dd8d48988d17c941735,1
7,circus,52e81612bcbc57f1066b79e7,1
8,comedy club,4bf58dd8d48988d18e941735,1
9,concert hall,5032792091d4c4b30a586d5c,1
10,country dance club,52e81612bcbc57f1066b79ef,1
11,disc golf,52e81612bcbc57f1066b79e8,1
12,escape room,5f2c2834b6d05514c704451e,1
13,exhibit,56aa371be4b08b9a8d573532,1
14,general entertainment,4bf58dd8d48988d1f1931735,1
15,go kart track,52e81612bcbc57f1066b79ea,1
16,historic site,4deefb944765f83613cdba6e,1
17,karaoke box,5744ccdfe4b0c0459246b4bb,1
18,laser tag,52e81612bcbc57f1066b79e6,1
19,memorial site,5642206c498e4bfca532186c,1
20,mini golf,52e81612bcbc57f1066b79eb,1
21,movie theater,4bf58dd8d48988d17f941735,1
22,drive-in theater,56aa371be4b08b9a8d5734de,2
23,indie movie theater,4bf58dd8d48988d17e941735,2
24,multiplex,4bf58dd8d48988d180941735,2
25,museum,4bf58dd8d48988d181941735,1
26,art museum,4bf58dd8d48988d18f941735,2
27,erotic museum,559acbe0498e472f1a53fa23,2
28,history museum,4bf58dd8d48988d190941735,2
29,planetarium,4bf58dd8d48988d192941735,2
30,science museum,4bf58dd8d48988d191941735,2
31,music venue,4bf58dd8d48988d1e5931735,1
32,jazz club,4bf58dd8d48988d1e7931735,2
33,piano bar,4bf58dd8d48988d1e8931735,2
34,rock club,4bf58dd8d48988d1e9931735,2
35,pachinko parlor,5744ccdfe4b0c0459246b4b8,1
36,performing arts venue,4bf58dd8d48988d1f2931735,1
37,dance studio,4bf58dd8d48988d134941735,2
38,indie theater,4bf58dd8d48988d135941735,2
39,opera house,4bf58dd8d48988d136941735,2
40,theater,4bf58dd8d48988d137941735,2
41,pool hall,4bf58dd8d48988d1e3931735,1
42,public art,507c8c4091d498d9fc8c67a9,1
43,outdoor sculpture,52e81612bcbc57f1066b79ed,2
44,street art,52e81612bcbc57f1066b79ee,2
45,racecourse,56aa371be4b08b9a8d573514,1
46,racetrack,4bf58dd8d48988d1f4931735,1
47,roller rink,52e81612bcbc57f1066b79e9,1
48,salsa club,52e81612bcbc57f1066b79ec,1
49,samba school,56aa371be4b08b9a8d5734f9,1
50,stadium,4bf58dd8d48988d184941735,1
51,baseball stadium,4bf58dd8d48988d18c941735,2
52,basketball stadium,4bf58dd8d48988d18b941735,2
53,cricket ground,4bf58dd8d48988d18a941735,2
54,football stadium,4bf58dd8d48988d189941735,2
55,hockey arena,4bf58dd8d48988d185941735,2
56,rugby stadium,56aa371be4b08b9a8d573556,2
57,soccer stadium,4bf58dd8d48988d188941735,2
58,tennis stadium,4e39a891bd410d7aed40cbc2,2
59,track stadium,4bf58dd8d48988d187941735,2
60,theme park,4bf58dd8d48988d182941735,1
61,theme park ride attraction,5109983191d435c0d71c2bb1,2
62,tour provider,56aa371be4b08b9a8d573520,1
63,vr cafe,5f2c14a5b6d05514c7042eb7,1
64,water park,4bf58dd8d48988d193941735,1
65,zoo,4bf58dd8d48988d17b941735,1
66,zoo exhibit,58daa1558bbb0b01f18ec1fd,2
67,college & university,4d4b7105d754a06372d81259,0
68,college academic building,4bf58dd8d48988d198941735,1
69,college arts building,4bf58dd8d48988d199941735,2
70,college communications building,4bf58dd8d48988d19a941735,2
71,college engineering building,4bf58dd8d48988d19e941735,2
72,college history building,4bf58dd8d48988d19d941735,2
73,college math building,4bf58dd8d48988d19c941735,2
74,college science building,4bf58dd8d48988d19b941735,2
75,college technology building,4bf58dd8d48988d19f941735,2
76,college administrative building,4bf58dd8d48988d197941735,1
77,college auditorium,4bf58dd8d48988d1af941735,1
78,college bookstore,4bf58dd8d48988d1b1941735,1
79,college cafeteria,4bf58dd8d48988d1a1941735,1
80,college classroom,4bf58dd8d48988d1a0941735,1
81,college gym,4bf58dd8d48988d1b2941735,1
82,college lab,4bf58dd8d48988d1a5941735,1
83,college library,4bf58dd8d48988d1a7941735,1
84,college quad,4bf58dd8d48988d1aa941735,1
85,college rec center,4bf58dd8d48988d1a9941735,1
86,college residence hall,4bf58dd8d48988d1a3941735,1
87,college stadium,4bf58dd8d48988d1b4941735,1
88,college baseball diamond,4bf58dd8d48988d1bb941735,2
89,college basketball court,4bf58dd8d48988d1ba941735,2
