,Districts,lat,lng
0,楠梓區,22.7283255,120.3262434
1,左營區,22.6905014,120.2947945
2,三民區,22.6476949,120.2996219
3,新興區,22.6310699,120.3100224
4,前金區,22.6275512,120.2941644
5,鼓山區,22.636797,120.281154
6,苓雅區,22.62177,120.312347
7,鹽埕區,22.624666,120.286795
8,前鎮區,22.586425,120.318583
9,旗津區,22.5905652,120.2844287
10,小港區,22.5653886,120.3379789
11,鳳山區,22.6270943,120.3627723
12,岡山區,22.7973523,120.2951285
13,旗山區,22.888491,120.48355
14,美濃區,22.8978804,120.5415297
15,大寮區,22.605386,120.395422
16,林園區,22.5071324,120.3949024
17,仁武區,22.7011397,120.3476739
18,路竹區,22.8552644,120.2599274
19,大樹區,22.693394,120.433095
20,鳥松區,22.6599188,120.3645785
21,梓官區,22.760475,120.267322
22,橋頭區,22.757501,120.305741
23,茄萣區,22.9064777,120.1824547
24,大社區,22.7299662,120.3466353
25,燕巢區,22.7883957,120.3621648
26,阿蓮區,22.883703,120.327036
27,湖內區,22.908188,120.21153
28,彌陀區,22.7828793,120.2473437
29,內門區,22.9434369,120.4623508
30,六龜區,22.997914,120.633418
31,永安區,22.81858,120.225308
32,杉林區,22.970712,120.53898
33,田寮區,22.8699651,120.3594453
34,甲仙區,23.0851944,120.5915154
35,桃源區,23.1591784,120.7654913
36,茂林區,22.8862483,120.6632165
37,那瑪夏區,23.216964,120.692799
